time,peak,duration,energy,sharpness,label
0.218,24,0.0,0.4364,1.0306,noise
0.218,24,0.0,0.4364,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4322,1.0306,noise
0.218,24,0.0,0.4322,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4322,1.0306,noise
0.218,24,0.0,0.4322,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4364,1.0306,noise
0.218,24,0.0,0.4364,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4343,1.0306,noise
0.218,24,0.0,0.4364,1.0306,noise
0.218,24,0.0,0.4414,1.0306,noise
0.218,24,0.0,0.4414,1.0306,noise
0.218,24,0.0,0.4414,1.0306,noise
0.218,23,0.0,0.4343,0.9876,noise
0.218,23,0.0,0.4343,0.9876,noise
0.218,23,0.0,0.4343,0.9876,noise
0.218,23,0.0,0.4343,0.9876,noise
0.218,23,0.0,0.4322,0.9876,noise
0.218,23,0.0,0.4322,0.9876,noise
0.218,23,0.0,0.4343,0.9876,noise
0.218,23,0.0,0.4343,0.9876,noise
0.218,24,0.0,0.4414,1.0306,noise
0.218,24,0.0,0.4393,1.0306,noise
0.218,24,0.0,0.4372,1.0306,noise
0.218,24,0.0,0.4372,1.0306,noise
0.218,24,0.0,0.4393,1.0306,noise
0.218,24,0.0,0.4393,1.0306,noise
0.218,24,0.0,0.4393,1.0306,noise
0.218,24,0.0,0.4372,1.0306,noise
0.218,24,0.0,0.4372,1.0306,noise
0.218,24,0.0,0.4372,1.0306,noise
0.218,24,0.0,0.4372,1.0306,noise
0.218,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.435,1.0306,noise
0.234,24,0.0,0.435,1.0306,noise
0.234,24,0.0,0.435,1.0306,noise
0.234,24,0.0,0.435,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.435,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.435,1.0306,noise
0.234,24,0.0,0.435,1.0306,noise
0.234,24,0.0,0.435,1.0306,noise
0.234,24,0.0,0.435,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.435,1.0306,noise
0.234,24,0.0,0.435,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.4393,1.0306,noise
0.234,24,0.0,0.4393,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.4393,1.0306,noise
0.234,24,0.0,0.4393,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.4393,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.4372,1.0306,noise
0.234,24,0.0,0.4393,1.0306,noise
